longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-120.58961720677247,35.00265048395487,42,1434,1182,3840,570,12.490760863719608,<1H OCEAN,474942.20413582044
-114.80482836364445,34.86407049926752,21,5688,1319,513,1423,12.74418183024126,ISLAND,500000.0
-117.00078082421349,41.067855602702956,37,1947,310,2248,1320,8.75255277158689,<1H OCEAN,356793.8582207514
-118.33946881866176,34.88822974058385,27,6951,1096,2337,625,6.044286669792307,NEAR BAY,424221.1790860931
-122.78357284995793,35.099046922870414,29,7311,1730,3815,1474,14.051092051877587,INLAND,500000.0
-122.78381501582452,39.68593764935304,20,7965,1153,3226,1158,6.76569904643047,NEAR OCEAN,446422.52005145256
-123.76684053383127,36.772051917459585,25,3417,734,4058,1731,8.312880825120201,NEAR BAY,371394.28606943047
-115.65359149641965,39.848846340948256,6,6911,967,3554,1164,6.968657453315222,NEAR OCEAN,392715.09111515403
-118.31480528209818,33.15509554268086,36,264,667,962,544,8.689865552422859,<1H OCEAN,330924.1854347227
-117.2409513189277,37.12804493246655,2,7160,1047,546,918,7.322323645388744,ISLAND,488098.671537613
-124.14333167727014,32.856303977724686,22,3157,1710,1513,1459,1.1955295994024002,INLAND,88031.88558670321
-114.61210508429357,33.12956664451489,32,4528,703,4303,182,13.28969869711163,NEAR BAY,500000.0
-115.99227588636377,41.06957643597091,16,502,1979,4317,806,6.943710374278662,INLAND,355028.34240614844
-122.2181153287901,33.85029894221657,18,8705,889,543,929,9.039682903356557,NEAR OCEAN,500000.0
-122.52447732924071,37.550078620209796,5,8336,1090,1476,1731,2.518223139990812,NEAR OCEAN,295301.9542011344
-122.50861872107151,36.408409620472646,36,6449,113,1742,1001,0.5491237957482675,ISLAND,195967.6994689451
-121.29540788068624,35.808500700095706,30,4257,959,1843,1380,4.056706357832823,NEAR OCEAN,250580.35308162894
-119.08144542641233,41.00743178291724,45,967,579,2773,398,10.716497465933578,ISLAND,500000.0
-120.01327201283316,32.74535816365736,19,8310,1795,708,1367,1.9383206866367397,NEAR BAY,327005.48845708236
-121.42605943241166,38.78626094691229,23,464,1902,4811,192,13.678867885603784,ISLAND,500000.0
-118.20699693698731,41.60554162594951,34,7567,232,4512,1019,3.6178272556646762,NEAR OCEAN,255862.24730377516
