doc_id,text_content
101,"Luxurious modern apartment with ocean views. Features include a spacious living room, state-of-the-art kitchen, and proximity to the beach. Perfect for professionals."
102,"Cozy mountain cottage with a stone fireplace. Surrounded by pine trees and hiking trails. Ideal for nature lovers and weekend getaways. Rustic interior."
103,"Downtown loft in the heart of the city. Industrial style with exposed brick walls and high ceilings. Walking distance to cafes and office district."
104,"Suburban family home with a large backyard and swimming pool. Safe neighborhood, near excellent schools and parks. Recently renovated kitchen."
105,"Compact city studio apartment. Efficient layout with modern amenities. Great for students or young professionals. Close to university and public transport."
106,"Historic victorian mansion with original details. extensive gardens and antique fixtures. Needs some renovation but fully chaming and unique."
107,"Luxury penthouse suite with panoramic skyline views. Private elevator, rooftop terrace, and concierge service. The ultimate in urban living."
108,"Affordable starter home in a quiet community. Two bedrooms, one bath, and a small garden. Great investment opportunity."
109,"Seaside villa with direct beach access. Private dock, infinity pool, and expansive terrace. Exclusive neighborhood."
110,"Modern eco-friendly tiny house. Solar panels, rainwater harvesting, and sustainable materials. Minimalist living at its best."
